Date;TMin (°C);TMax (°C);TMoy (°C)
01/10/2016;9.72;17.52;13.62
02/10/2016;6.07;18.35;12.21
03/10/2016;5.98;19.62;12.8
04/10/2016;10.38;19.6;14.99
05/10/2016;9.43;19.47;14.45
06/10/2016;6.43;16.12;11.28
07/10/2016;4.35;14.75;9.55
08/10/2016;8.38;17.55;12.96
09/10/2016;7.0;16.85;11.92
10/10/2016;4.4;16.8;10.6
11/10/2016;7.0;15.48;11.24
12/10/2016;4.82;15.27;10.05
13/10/2016;5.68;14.72;10.2
14/10/2016;5.2;14.18;9.69
15/10/2016;6.8;15.62;11.21
16/10/2016;10.92;18.12;14.52
17/10/2016;10.8;17.9;14.35
18/10/2016;7.5;15.32;11.41
19/10/2016;5.18;14.2;9.69
20/10/2016;6.72;15.05;10.89
21/10/2016;6.2;15.7;10.95
22/10/2016;4.47;15.05;9.76
23/10/2016;5.95;11.4;8.68
24/10/2016;9.07;17.38;13.22
25/10/2016;7.93;17.0;12.46
26/10/2016;6.68;15.75;11.21
27/10/2016;8.7;12.27;10.49
28/10/2016;7.02;15.23;11.13
29/10/2016;6.62;14.68;10.65
30/10/2016;7.38;17.52;12.45
31/10/2016;6.2;20.05;13.12
01/11/2016;5.08;18.35;11.71
02/11/2016;7.52;13.85;10.69
03/11/2016;0.92;12.25;6.59
04/11/2016;6.37;12.7;9.54
05/11/2016;3.78;12.42;8.1
06/11/2016;2.72;9.7;6.21
07/11/2016;2.92;10.6;6.76
08/11/2016;2.62;11.18;6.9
09/11/2016;7.72;12.58;10.15
10/11/2016;9.22;13.2;11.21
11/11/2016;4.8;13.85;9.32
12/11/2016;7.8;14.35;11.08
13/11/2016;7.98;13.77;10.88
14/11/2016;4.9;14.1;9.5
15/11/2016;9.38;13.68;11.52
16/11/2016;10.9;13.75;12.32
17/11/2016;8.77;14.12;11.45
18/11/2016;5.6;11.25;8.43
19/11/2016;3.65;13.42;8.54
20/11/2016;8.32;13.25;10.79
21/11/2016;8.3;12.42;10.36
22/11/2016;4.95;11.52;8.24
23/11/2016;2.53;12.3;7.41
24/11/2016;9.75;12.55;11.15
25/11/2016;7.95;10.68;9.31
26/11/2016;7.22;10.95;9.09
27/11/2016;5.22;10.4;7.81
28/11/2016;4.5;9.3;6.9
29/11/2016;-1.4;5.72;2.16
30/11/2016;-2.17;9.57;3.7
01/12/2016;0.03;11.62;5.82
02/12/2016;0.15;7.5;3.82
03/12/2016;2.22;9.22;5.72
04/12/2016;0.75;6.8;3.78
05/12/2016;2.38;13.02;7.7
06/12/2016;5.38;12.32;8.85
07/12/2016;7.58;13.35;10.46
08/12/2016;7.43;13.13;10.28
09/12/2016;8.7;12.8;10.75
10/12/2016;8.45;12.92;10.69
11/12/2016;6.78;11.48;9.12
12/12/2016;9.32;13.12;11.23
13/12/2016;10.3;13.8;12.05
14/12/2016;5.22;10.95;8.09
15/12/2016;8.0;11.65;9.83
16/12/2016;7.7;13.23;10.46
17/12/2016;1.72;10.65;6.19
18/12/2016;2.1;8.68;5.39
19/12/2016;2.92;7.42;5.18
20/12/2016;3.32;8.57;5.95
21/12/2016;6.18;12.32;9.25
22/12/2016;5.65;11.72;8.69
23/12/2016;4.28;12.22;8.25
24/12/2016;4.1;11.62;7.86
25/12/2016;8.4;12.15;10.28
26/12/2016;6.12;11.88;9.0
27/12/2016;0.4;7.6;4.0
28/12/2016;-0.73;7.45;3.36
29/12/2016;-2.35;8.57;3.11
30/12/2016;-1.18;5.22;2.02
31/12/2016;-1.88;4.45;1.29
01/01/2017;2.15;7.7;4.92
02/01/2017;3.42;6.85;5.14
03/01/2017;-1.32;5.57;2.12
04/01/2017;-2.58;7.28;2.35
05/01/2017;2.68;7.9;5.29
06/01/2017;-1.78;5.45;1.84
07/01/2017;-1.08;8.22;3.58
08/01/2017;4.68;10.98;7.82
09/01/2017;3.18;10.38;6.78
10/01/2017;6.0;10.48;8.24
11/01/2017;8.25;12.1;10.18
12/01/2017;5.08;10.68;7.88
13/01/2017;2.08;8.3;5.19
14/01/2017;1.35;9.45;5.4
15/01/2017;4.72;9.88;7.3
16/01/2017;8.2;10.42;9.31
17/01/2017;0.65;6.02;3.34
18/01/2017;-3.22;4.65;0.71
19/01/2017;-2.22;4.88;1.32
20/01/2017;-5.5;2.65;-1.42
21/01/2017;-5.88;5.92;0.02
22/01/2017;-3.42;10.78;3.68
23/01/2017;-2.75;10.68;3.96
24/01/2017;-3.25;10.4;3.58
25/01/2017;-2.7;5.75;1.52
26/01/2017;-2.8;5.65;1.42
27/01/2017;0.77;8.57;4.68
28/01/2017;2.72;10.75;6.74
29/01/2017;2.47;11.12;6.8
30/01/2017;9.65;12.45;11.05
31/01/2017;10.52;12.32;11.42
01/02/2017;8.85;12.58;10.71
02/02/2017;9.65;12.78;11.21
03/02/2017;6.55;10.27;8.41
04/02/2017;4.28;10.38;7.33
05/02/2017;4.1;9.33;6.71
06/02/2017;1.93;10.58;6.25
07/02/2017;4.57;10.65;7.61
08/02/2017;1.95;9.98;5.96
09/02/2017;-0.7;7.88;3.59
10/02/2017;-0.4;5.82;2.71
11/02/2017;0.3;4.98;2.64
12/02/2017;-0.75;9.38;4.31
13/02/2017;3.4;14.0;8.7
14/02/2017;8.57;14.0;11.29
15/02/2017;6.88;14.22;10.55
16/02/2017;3.5;13.5;8.5
17/02/2017;1.68;14.38;8.02
18/02/2017;3.77;14.3;9.04
19/02/2017;0.97;12.3;6.64
20/02/2017;8.85;13.3;11.08
21/02/2017;8.75;12.4;10.58
22/02/2017;9.6;11.8;10.7
23/02/2017;8.2;12.7;10.45
24/02/2017;3.35;11.45;7.4
25/02/2017;2.18;12.2;7.19
26/02/2017;8.88;11.9;10.39
27/02/2017;4.42;9.98;7.2
28/02/2017;3.12;10.38;6.75
01/03/2017;6.95;12.08;9.51
02/03/2017;3.52;12.35;7.94
03/03/2017;7.7;12.6;10.15
04/03/2017;4.53;11.42;7.98
05/03/2017;5.35;11.78;8.56
06/03/2017;6.52;11.05;8.79
07/03/2017;5.85;11.6;8.72
08/03/2017;9.4;12.82;11.11
09/03/2017;10.82;14.72;12.78
10/03/2017;7.22;16.18;11.7
11/03/2017;7.88;16.52;12.2
12/03/2017;8.93;11.2;10.06
13/03/2017;6.7;14.02;10.36
14/03/2017;3.1;12.8;7.95
15/03/2017;9.1;13.12;11.11
16/03/2017;3.47;16.45;9.96
17/03/2017;7.1;12.5;9.8
18/03/2017;6.85;14.38;10.61
19/03/2017;9.85;14.15;12.0
20/03/2017;9.7;12.7;11.2
21/03/2017;5.38;11.65;8.51
22/03/2017;4.03;10.88;7.45
23/03/2017;2.38;10.05;6.21
24/03/2017;3.5;12.32;7.91
25/03/2017;7.62;15.32;11.48
26/03/2017;5.9;14.82;10.36
27/03/2017;5.48;19.55;12.51
28/03/2017;8.15;16.0;12.08
29/03/2017;9.93;17.92;13.92
30/03/2017;9.05;20.62;14.84
31/03/2017;10.6;15.68;13.14
01/04/2017;8.2;14.15;11.18
02/04/2017;7.32;15.28;11.3
03/04/2017;4.32;16.2;10.26
04/04/2017;7.7;13.28;10.49
05/04/2017;8.25;14.55;11.4
06/04/2017;2.82;15.98;9.4
07/04/2017;3.9;17.7;10.8
08/04/2017;6.35;22.9;14.62
09/04/2017;9.1;20.55;14.82
10/04/2017;5.45;15.92;10.69
11/04/2017;3.4;15.8;9.6
12/04/2017;2.85;16.1;9.48
13/04/2017;5.25;14.05;9.65
14/04/2017;4.82;12.92;8.88
15/04/2017;8.85;14.42;11.64
16/04/2017;6.07;14.9;10.49
17/04/2017;4.12;14.98;9.55
18/04/2017;3.1;15.45;9.27
19/04/2017;2.15;14.0;8.07
20/04/2017;0.9;13.95;7.42
21/04/2017;1.65;17.08;9.36
22/04/2017;4.0;18.02;11.01
23/04/2017;5.32;17.77;11.55
24/04/2017;3.5;17.7;10.6
25/04/2017;6.4;11.1;8.75
26/04/2017;0.15;11.08;5.61
27/04/2017;0.1;12.27;6.19
28/04/2017;3.25;12.85;8.05
29/04/2017;2.75;16.77;9.76
30/04/2017;7.72;12.62;10.18
01/05/2017;6.62;13.88;10.25
02/05/2017;8.52;15.88;12.2
03/05/2017;5.82;15.58;10.7
04/05/2017;5.62;16.52;11.08
05/05/2017;8.75;18.23;13.49
06/05/2017;11.4;16.23;13.81
07/05/2017;10.42;16.62;13.52
08/05/2017;5.9;17.52;11.71
09/05/2017;6.52;16.75;11.64
10/05/2017;7.02;20.52;13.77
11/05/2017;11.7;16.35;14.02
12/05/2017;12.25;17.02;14.64
13/05/2017;10.75;17.95;14.35
14/05/2017;9.55;18.15;13.85
15/05/2017;12.45;20.68;16.56
16/05/2017;14.2;24.5;19.35
17/05/2017;13.3;17.3;15.3
18/05/2017;8.65;14.65;11.65
19/05/2017;5.9;15.1;10.5
20/05/2017;6.2;16.5;11.35
